id,case_id,area,tracer,AP,ML,DV,memo
CJ19-FE,CJ19,V3A(DA),FE,-0.50,3.52,16.68,FE injection in the caudal part of the dorsoanterior area (DA/ V3a).
CJ56-FR,CJ56,V5(MT),FR,2.90,9.75,11.60,FR injection in the far peripheral representation of area MT (monocular crescent). Manual reconstruction illustrated in Figure 4 of Palmer and Rosa  2006 (Eur J Neurosci 24: 2389–2405).
CJ56-FB,CJ56,V5(MT),FB,2.00,9.20,12.00,"FB injection in the peripheral representation of area MT, centred on horizontal meridian (visible in sections c20a- c23a)."
CJ50-FR,CJ50,V4(VLA),FR,-0.44,8.31,13.68,"FR injection at the peripheral lower quadrant representation of area V4 (ventrolateral anterior area). Distribution of label indicates little or no involvement of adjacent parietal area Opt. Note more restricted distribution of label in the frontal and posterior cingulate regions, in comparison with the DY injection in PG/ OPt"
CJ50-DY,CJ50,PG,DY,1.39,7.22,14.69,"DY Injection in the inferior parietal cortex, near the border between cytoarchitectural areas PG and Opt."
CJ76-FB,CJ76,LIP,FB,0.00,6.76,15.16,FB injection straddled the border between the lateral intraparietal area (LIP) and area OPt. The centre of mass was assessed to be in LIP.
CJ800-DY,CJ800,A46D,DY,17.60,3.00,12.80,"The DY injection was small, and restricted to area 46 dorsal (46D)."
CJ77-DY,CJ77,PF,DY,5.50,6.70,15.10,"The small DY injection was concentrated in the supra granular layers of cytoarchitectural area PF (with likely minor involvement of PFG). In comparison with other injections in posterior parietal cortex, this one labeled a larger proportion of neurones in somatosensory and motor areas."
CJ77-FR,CJ77,PG,FR,1.70,6.90,15.60,"FR was a small injection in cytoarchitectural area PG, which led to labeling of relatively few neurones."
CJ173-DY,CJ173,A4ab,DY,9.50,2.60,17.75,The DY injection was small and restricted to the supra granular layers of primary motor cortex (cytoarchitectural area 4a/b).
CJ74-FB,CJ74,A8b,FB,15.25,1.36,14.24,FB injection centred in area 8b. Data were summarised in Reser et al. 2013 (Cereb Cortex  23:1901–1922).
CJ74-DY,CJ74,A8b,DY,13.28,0.19,14.98,DY injection in the caudal part of area 8b. Pattern of label is similar to FB injection suggesting no involvement of cortex caudal to 8b (area 6M).
CJ76-FE,CJ76,PFG,FE,5.00,7.20,14.52,"FE injection was small, and restricted to cytoarchitectural area PFG. Involvement of the infragranular layers was incomplete."
CJ76-DY,CJ76,PFG,DY,3.50,6.50,15.12,DY injection was a large deposit (crystal) inserted in area PFG. The edges of the injection most likely invaded the anterior intraparietal area (AIP).
CJ84-FE,CJ84,A23a,FE,2.00,0.20,13.50,"FE injection was very small, restricted to supragranular layers of area 23a (near caudal end)."
CJ84-FB,CJ84,PGM,FB,0.24,0.70,12.90,FB injection near the ventral limit of area PGM (7m).
CJ84-FR,CJ84,A19M,FR,-0.30,0.65,12.60,"Small FR injection in the supragranular layers, near the ventral limit of area 19M."
CJ83-DY,CJ83,A8b,DY,14.31,0.90,14.40,DY injection in caudal area 8b. CARET reconstruction illustrated in Figure 4A of Reser et al. 2013 (Cereb Cortex 23: 1901–1922).
CJ108-FE,CJ108,A8aV,FE,15.98,5.78,12.71,FE injection in area 8aV (frontal eye field). CARET reconstruction illustrated in Fig. 4C of Reser et al. 2013 (Cereb Cortex 23: 1901–1922). Comparison between manual and automated reconstructions illustrated in Fig. 9 of Majka et al. 2016 (J Comp Neurol 524:2161–2181).
CJ108-FR,CJ108,A8aD,FR,15.44,3.86,13.69,FR injection consisted of 2 parallel tracks in area 8aD. CARET reconstruction also illustrated in Fig. 4B or Reser et al. 2013.
CJ71R-DY,CJ71R,A10,DY,19.50,1.24,11.08,"DY injection at the apex of the frontal pole, contained within area 10. Manual reconstruction illustrated in Figure 6 of Burman et al. 2011 (Cereb Cortex 21:1712—1737)."
CJ71R-FB,CJ71R,A10,FB,19.00,3.04,11.48,FB injection in the lateral part of the frontopolar cortex (area 10). Manual reconstruction illustrated in Figure 8 of Burman et al. 2011 (Cereb Cortex 21:1712—1737).
CJ71R-FR,CJ71R,A47L(12L),FR,17.50,5.40,11.76,FR injection in the rostral part of area 47L (12L); no apparent invasion of adjacent areas.
CJ76-FR,CJ76,PG,FR,2.00,7.60,14.64,"FR injection was small, and restricted to cytoarchitectural area PG"
CJ74-FR,CJ74,A8aV,FR,15.98,6.32,12.24,"FR injection in area 8aV, with possible minor (halo) involvement of area 47L."
CJ82-FE,CJ82,V1,FE,-8.55,2.29,15.17,"Small FE injection in the central visual field representation of V1, lower quadrant."
CJ56-DY,CJ56,V4T(MTC),DY,1.65,10.40,10.70,"DY injection in the ventral arm of the middle temporal crescent area (V4T), crossing into area MT. Resulted in label in upper quadrant representations of visual areas."
CJ56-FE,CJ56,V5(MT),FE,1.20,10.15,11.00,FE injection in the central and near-peripheral representation in area MT (upper quadrant). Manual reconstruction illustrated in Figure 10 of Palmer and Rosa  2006 (Eur J Neurosci 24: 2389–2405).
CJ19-FR,CJ19,V2,FR,-4.50,6.60,14.68,"FR injection in the central visual field representation of V2, near rostral border."
CJ178-DY,CJ178,A32,DY,16.00,0.90,11.70,"The DY injection in medial frontal cortex was well centred in area 32. The extent of the injection halo suggests that there may have been a slight contamination of area 8b, but the pattern of label does not reveal widespread intrinsic connections within the latter area."
CJ100-FE,CJ100,A6Va,FE,13.00,6.50,13.10,FE injection involving area 8C and dorsal part of area 6Va; previously illustrated as case 5 in Burman et al. J Comp Neurol 523:1222–1247 (2015).
CJ100-FR,CJ100,A6DR,FR,13.00,3.60,15.10,FR injection in the dorsal part of area 6DR; previously illustrated as case 4 in Burman et al. J Comp Neurol 522:3683–3716 (2014).
CJ77-FB,CJ77,OPt,FB,-0.50,6.90,15.40,"The FB injection was large (a crystal of FB inserted in the cortex) but was restricted to cortex. It was centred in cytoarchitectural area OPt, but invaded the lateral intraparietal area (LIP) extensively, leading to widespread label in visual areas."
CJ82-FR,CJ82,V1,FR,-5.59,0.55,13.04,"FR injection in V1, near V2 border, in peripheral vision representation (~10˚ lower field)."
CJ123-FR,CJ123,A6DC,FR,11.60,3.90,15.10,The FR injection in area 6DC appeared in the paper by Burman et al. 2014 (J Comp Neurol 522:3683–3716) as case 9 (Fig. 9C)
CJ81-FR,CJ81,V2,FR,-3.60,0.60,13.50,"FB and FR injectons in the peripheral representation, along the midline portion of V2. Both injections were located near the border with V1."
CJ164-DY,CJ164,A8b,DY,15.50,0.95,14.30,"DY injection was well restricted to area 8b, close to the midline."
CJ164-FB,CJ164,A8b,FB,14.30,0.70,14.25,"The FB injection was in the midline part of area 8b, with possible slight invasion of anterior cingulate area 24c. the latter may account for the label in representations of the head in most motor and premotor areas."
CJ164-CTBgr,CJ164,A6M,CTBgr,12.70,0.80,15.50,"CTB (green) injection was restricted to the rostral part of area 6M (supplementary motor). The pattern of label differs somewhat from more caudal injections assigned to area 6M, but lacks the projections from superior temporal cortex that are observed following injections in area 8b."
CJ146L-DY,CJ146L,A23b,DY,4.80,1.17,15.05,"The DY injection was centred in area 23b, but reached further ventrally into area 23a."
CJ173-FB,CJ173,A1/2,FB,6.50,5.50,15.80,"The FB injection was large, and included parts of two subdivisions of somatosensory cortex (areas 3b and 1/2)."
CJ173-CTBr,CJ173,PE,CTBr,5.40,2.60,17.20,The CTB red injection was near the rostral border of parietal area PE. Histology indicates that there was likely invasion of somatosensory area 1/2.
CJ82-DY,CJ82,V2,DY,-3.80,0.15,13.33,"DY injection in V2, midline, near V1 border, at the peripheral representation lower field (~20˚ eccentricity)."
CJ173-CTBgr,CJ173,AIP,CTBgr,3.00,5.60,15.45,"The CTB-green injection was located in the rostral part of the posterior parietal cortex, centred in the anterior intraparietal area (AIP)."
CJ123-FE,CJ123,A8C,FE,13.20,5.80,13.30,The FE injection in area 8C appeared in the paper by Burman et al. (2015) as case 4 (Fig. 12).
CJ21-FB,CJ21,V3A(DA),FB,-1.80,4.80,16.30,"The FB injection was located mostly within the dorsoanterior area (DA, or V3a), but crossed its caudal border with area DM (V6), leading to strong label in V1 near the upper vertical meridian representation. This was used as an example of injection involving the rostral border of DM in Rosa et al. 2005 (J Comp Neurol 483: 164-191; Fig. 12A)."
CJ75X-FR,CJ75X,AuA1,FR,6.50,10.60,11.00,FR injection restricted to primary auditory area (A1).
CJ178-FB,CJ178,V1,FB,-7.50,3.50,13.00,"The FB injection in this case was centred on the dorsal bank of the calcimine sulcus. There was no invasion of the ventral bank, but the injection resulted in a large area of necrosis in the occipital white matter and dorsal surface, which may have masked some connections, particularly with V2."
CJ78-FE,CJ78,A4ab,FE,9.80,4.70,15.80,FE injection in the intermediate part of M1 (putative forelimb representation; case 7 in Burman et al. 2014). CARET reconstruction illustrated in Figure 11 of the paper.
CJ78-DY,CJ78,A3a,DY,9.00,5.50,15.20,DY injection in area 3a crossing into caudal M1 (case 8 in Burman et al. 2014).
CJ78-FB,CJ78,A4ab,FB,8.80,2.80,17.20,FB injection in caudal medial M1 (case 4 in Burman et al. 2014). CARET reconstruction illustrated in Figure 8 of the paper.
CJ181-CTBr,CJ181,A11,CTBr,17.30,3.60,11.00,The CTB-red injection was restricted to area 11 of the rostral orbitofrontal cortex. There was no noticeable leakage up the track into dorsolateral prefrontal cortex.
CJ181-DY,CJ181,A47L(12L),DY,17.00,5.60,12.00,The DY injection involved all layers of area 47L. It was restricted to the rostral part of this area.
CJ181-FB,CJ181,TEO,FB,0.00,10.70,4.60,"The FB injection was well centred in cytoarchitectural area TEO, mostly in the supragranular layers."
CJ802-DY,CJ802,AIP,DY,3.50,5.90,15.70,"The DY injection was placed in the anterior intraparietal area (AIP), but may have invaded a more lateral area (cytoarchitectural area PFG) to a small extent."
CJ802-FB,CJ802,PG,FB,2.90,8.00,14.00,"The FB injection involved the junction of various parietal areas. the bulk of the injection was located in cytoarchitectural area PG, but parts of it involved caudal (PG, MST) and possibly rostral (TPt) areas, resulting in a complex pattern of label."
CJ94-DY,CJ94,A8aV,DY,13.80,7.20,12.10,DY injection in the ventral part of the frontal eye field (area 8aV) wit likely halo crossing into more ventral cortex (area 45 or area 6Va. Manual reconstruction shown in Fig. 4D of Reser et al. 2013 (Cereb Cortex 23: 1901–1922).
CJ180-FB,CJ180,AuRT,FB,9.30,10.50,8.15,"The FB injection was large, and included multiple areas of the anterior auditory cortex. It was centred in area RT, and included parts of RTL, RTM and AL"
CJ180-CTBr,CJ180,TE3,CTBr,6.25,10.50,5.20,"The CTB-red injection was located in the inferior temporal cortex. Preliminary analysis suggests a location in cytoarchitectural area TE3, but invasion of adjacent polysensory cortex is possible."
CJ180-CTBgr,CJ180,AuML,CTBgr,5.80,10.75,9.80,"Injection of CTB-green was centred in the ventral auditory cortex, probably including parts of various areas (CL, ML, and caudal parabelt)"
CJ180-DY,CJ180,TE3,DY,4.10,11.10,6.30,"The DY injection was placed in the dorsal part of cytoarchitectural area TE3,."
CJ94-FR,CJ94,A6DR,FR,12.90,4.50,14.92,"FR injection in area 6DR. Results unpublished but very similar to those of case 3 (CJ125FE), shown in Burman et al. (J Comp Neurol 522:3683–3716,2014)"
CJ94-FB,CJ94,A6M,FB,11.90,1.30,16.21,FB injection in the caudal part of area 6M (supplementary motor)
CJ81-FB,CJ81,V2,FB,-5.00,0.50,14.30,"FB and FR injectons in the peripheral representation, along the midline portion of V2. Both injections were located near the border with V1."
CJ55-DY,CJ55,PG,DY,1.70,7.20,14.16,"A large DY injection consisting of multiple crystals was centred in parietal area PG, with likely involvement of visual area MST. The patter of label was complex, being very similar to that revealed by the FB injection, but including a wider variety of prefrontal and orbitofrontal areas."
CJ55-FR,CJ55,LIP,FR,1.22,5.13,15.57,"A small FR injection was restricted to cytoarchitectural area LIP (lateral intraparietal area, according to Paxinos et al. 2012). Few labelled cells overall, revealing main connections with visual cortex (V3, V4, MST), posterior medial cortex, and premotor areas 6DR and 8C. Interestingly, there were also a few auditory connections"
CJ81-DY,CJ81,V2,DY,-6.10,2.00,16.16,"DY injecton in the near-periphery representation, approximately 10˚ eccentricity."
CJ81-FE,CJ81,V2,FE,-6.00,6.00,14.50,FE injection in the central (parafoveal) representation of V2.
CJ55-FB,CJ55,OPt,FB,0.82,7.93,13.77,"A large FB injection was placed at the junction between visual cortex (area MST) and posterior parietal cortex (Opt/ PG). The resulting pattern on label was complex, including peripheral representations in visual cortex (V2, V3, V4, DM, MT) and various association areas in caudomedial, parahippocampal, polysensory (PGa/ IPa), prefrontal (area 12) and posterior parietal regions."
CJ55-FE,CJ55,MIP,FE,0.05,2.93,16.47,"FE injection in the medial parietal cortex, area MIP according to registration to the Paxinos et al. 2012 atlas. However there was topographically organised label in the upper quadrant representation of various extrastriate areas, including DM, MT, V3, V4t, and MST. Based on what is known about the connections of MIP in the macaque, this suggests that the injection significantly included more caudal cortex (probably the dorsoanterior area, V3a), or that the atlas is incorrect about the extent of MIP in the marmoset. The presence of label in area 6DC (caudal dorsal premotor cortex), retroinsular cortex, and parietal area PE is compatible with involvement of MIP."
CJ153X-FR,CJ153X,A23b,FR,2.15,0.80,15.30,"The FR injection was very successful in resulting in a restricted stein posterior cingulate cortex, largely contained in area 23b."
CJ802-CTBr,CJ802,S2E,CTBr,7.00,8.60,12.85,The CTB-red injection was restricted to the supragranular layers of the external segment of somatosensory area S2 (S2E)
CJ800-FB,CJ800,A47L(12L),FB,17.00,6.00,12.80,"The FB injection was small and restricted to the supragranular layers. It was centred in the rostral part of area 47L. The injection ""halo"" may have invaded area 8aV, but the absence of label in visual cortex suggested that this was not part of the effective injection site."
CJ800-CTBr,CJ800,A8aD,CTBr,16.30,3.10,13.20,"The CTB-red was centred in cytoarchitectural area 8aD, and involved all layers with no apparent invasion of adjacent areas."
CJ181-CTBgr,CJ181,AuCM,CTBgr,4.80,9.60,11.40,"The CTB-green injection was centred in the caudomedial auditory area (CM), but seems to have crossed into the rostral part of visual area MST. This region may correspond to the caudal part of the superior temporal polysensry area (TPOC) according to Majka et al. 2019 (Brain Struct Funct 224: 111-131)."
CJ800-CTBgr,CJ800,A45,CTBgr,14.60,8.00,11.40,"The CTB-green was centred in cytoarchitectural area 45, but invaded area 47L to some extent. The pattern of label included central vision representations in visual cortex, as expected from the results of an earlier study (Reser et al. 2013, Cereb Cortex 23:1901–1922)."
CJ80-FB,CJ80,A23b,FB,1.40,0.80,15.50,"The FB injection was centred in area 23b, but the halo invaded cortex located more dorsally along the midline (probably area 31)."
CJ80-FR,CJ80,A23a,FR,1.20,0.55,14.00,"The FR injection was quite small, and straddled the border between cytoarchitectural areas 23a and 23b. Unlike more rostral injections in area 23, this case revealed substantial connections with visual areas, suggesting that area 23 has rostrocaudal subdivisions."
CJ80-DY,CJ80,PGM,DY,0.20,0.50,14.15,The DY injection was restricted to cytoarchitectural area PGM.
CJ21-DY,CJ21,A19DI,DY,-3.20,6.50,15.30,"The DY injection was located in the currently poorly understood subdivision of cytoarchitectural area 19 that is located immediately ventral to the central upper quadrant representation in area DM (area 19 dorsointermediate, 19DI of Paxinos et al. 2012). This resulted in a distinct pattern of label in comparison with adjacent areas, which includes sparse label in V1, and frontal label that extends into the lateral orbitofrontal surface. Topographic analysis of the labeled patches in V1, V2 and MT indicates that this injection involved a central visual field representation near the horizontal meridian and upper quadrant."
CJ174-FB,CJ174,V1,FB,-8.80,3.00,11.30,"The FB injection was large. It was centred on the upper bank of the calcimine sulcus, but included the supragranular layers of the ventral bank as well. Leakage up the track was minimal, and any invasion of white matter at this level of the brain would correspond to axons leading to V1. the paucity of label in the occipital lobe surface indicates little or no contamination by leakage."
CJ174-CTBgr,CJ174,V1,CTBgr,-10.00,5.80,10.80,The CTB-green injection was located near the representation of the fovea in V1. It only involved supragranular layers.
CJ174-CTBr,CJ174,V1,CTBr,-10.50,1.00,13.75,"The CTB-red injection was very small, and restricted to the supragranular layers of V1."
CJ114-FE,CJ114,A3b,FE,10.50,8.15,12.00,"A small FE injection was located in the primary somatosensory cortex (area 3b), mainly in the supra granular layers."
CJ114-FR,CJ114,A4ab,FR,10.50,3.30,15.50,"The FR injection was assessed as being in the forelimb representation of the primary motor cortex (cytoarchitectural area 4ab). A computerised reconstruction with expert delineation of areal bounraries was published as case 6 in the paper by Burman et al. (J Comp Neurol 522:811–843, 2014)."
CJ802-CTBgr,CJ802,AuML,CTBgr,6.00,10.60,10.60,"the CTB-green injection was placed in lateral auditory cortex, involving parts of belt (primarily area ML) and caudal parabelt areas."
CJ64-FE,CJ64,AuML,FE,7.10,10.55,8.90,"FE was a small injection in the auditory cortex (lateral belt, centered in area ML). Resulted primarily in local label in auditory and caudal insular areas."
CJ64-FR,CJ64,AuCM,FR,5.60,9.68,11.40,"FR was a small injection in the caudal auditory belt (area CM). Resulted primarily in label in other auditory areas. Scattered label in frontal cortex (centered in area 8aV), caudal insular areas, and the S2 complex."
CJ64-FB,CJ64,V4T(MTC),FB,1.20,10.20,10.00,"FB injection in the ventral part of the middle temporal crescent (V4T/ MTC), with invasion of the middle temporal area (V5/ MT). Resulted in label primarily in upper quadrant representations of visual areas. This injection was part of the study published by Palmer and Rosa (Eur J Neurosci 24: 2389-2405, 2006)"
CJ110-FE,CJ110,A6DR,FE,13.00,4.00,14.50,FE injection in area 6DR. This injection was published as case 5 in Burman et al. 2014 (J Comp Neurol. 522:3683–3716). Data illustrated in Figures 10 and 11 of this paper.
CJ110-FR,CJ110,A6Va,FR,13.20,7.30,12.20,"FR injection in area 6Va, published as case 1 in Burman et al. 2015 (J Comp Neurol 523:1222–1247), and presented in Figures 8 and 9 of this paper."
CJ146-FB,CJ146,A23b,FB,3.20,0.84,16.00,"The FB injection was centred in area 23b, but likely invaded area 31."
CJ112-FE,CJ112,A6DC,FE,12.15,3.30,15.30,FE injection published as case 7 in Burman et al. 2014  (J Comp Neurol. 522:3683–3716). CARET reconstruction illustrated in Figure 15A of this paper.
